title,abstract
"Compressive X-ray phase tomography based on the transport of intensity
  equation","  We develop and implement a compressive reconstruction method for tomographic
recovery of refractive index distribution for weakly attenuating objects in a
microfocus X-ray system. This is achieved through the development of a
discretized operator modeling both the transport of intensity equation and
X-ray transform that is suitable for iterative reconstruction techniques.
"
Boosting the t tbar charge asymmetry,"  We propose a kinematical enhancement of the t tbar charge asymmetry at the
LHC by selecting events with the t tbar centre of mass frame highly boosted
along the beam axis. This kinematical selection increases the asymmetries and
their significance up to a factor of two in a rather model-independent fashion.
Hence, it can be a perfect complement to enhance model discrimination at the
LHC.
"
"Classifying Spaces with Virtually Cyclic Stabilisers for Certain
  Infinite Cyclic Extensions","  Let G be an infinite cyclic extension, 1 -> B -> G -> Z -> 1, of a group B
where the action of Z on the set of conjugacy classes of non-trivial elements
of B is free. This class of groups includes certain ascending HNN-extensions
with abelian or free base groups, certain wreath products by Z and the soluble
Baumslag-Solitar groups BS(1,m) with |m|> 1. We construct a model for Evc(G),
the classifying space of G for the family of virtually cyclic subgroups of G,
and give bounds for the minimum dimension of Evc(G). We construct a
2-dimensional model for Evc(G) where G is a soluble Baumslag-Solitar BS(1,m)
group with |m|>1 and we show that this model for Evc(G) is of minimal
dimension.
"
Sequential adaptive compressed sampling via Huffman codes,"  There are two main approaches in compressed sensing: the geometric approach
and the combinatorial approach. In this paper we introduce an information
theoretic approach and use results from the theory of Huffman codes to
construct a sequence of binary sampling vectors to determine a sparse signal.
Unlike other approaches, our approach is adaptive in the sense that each
sampling vector depends on the previous sample. The number of measurements we
need for a k-sparse vector in n-dimensional space is no more than O(k log n)
and the reconstruction is O(k).
"
"Distributed manipulation of two-qubit entanglement with coupled
  continuous variables","  We study the dynamics of two qubits separately sent through two coupled
resonators, each initially containing a coherent state field. We present
analytical arguments and numerical calculations for the qubit-field system
under different two-qubit initial states, photon hopping strengths, and
detunings. In far off-resonant regime, the maximal entanglement of two qubits
can be generated with the initial qubit state in which one qubit is in the
excited state and the other is in the ground state, and the initially maximal
two-qubit entanglement can be frozen and fully revived even for large mean
photon number. When the qubits are both initially in their excited states or
ground states, the qubit-qubit entanglement birth and death apparently appear
in the regime where the photon hopping strength is close to qubit-field
detuning, and its peaks do not decrease monotonically as the interaction time
increases. It is interesting to observe that when there is photon hopping
strength between two fields, the field-field entanglement can be larger than
one and increases as the initial amplitude of the coherent state grows. By
postselecting the fields both in their coherent states, the entanglement of two
initially unentangled qubits can be largely improved. Our present setup is
fundamental for the distributed quantum information processing and applicable
to different physical qubit-resonator systems.
"
"Demonstrating Additional Law of Relativistic Velocities based on
  Squeezed Light","  Special relativity is foundation of many branches of modern physics, of which
theoretical results are far beyond our daily experience and hard to realized in
kinematic experiments. However, its outcomes could be demonstrated by making
use of convenient substitute, i.e. squeezed light in present paper. Squeezed
light is very important in the field of quantum optics and the corresponding
transformation can be regarded as the coherent state of SU(1; 1). In this
paper, the connection between the squeezed operator and Lorentz boost is built
under certain conditions. Furthermore, the additional law of relativistic
velocities and the angle of Wigner rotation are deduced as well.
"
The transition from amorphous to crystalline in Al/Zr multilayers,"  The amorphous-to-crystalline transition in Al(1.0%wtSi)/Zr and Al(Pure)/Zr
multilayers grown by direct-current magnetron sputtering system has been
characterized over a range of Al layer thicknesses (1.0-5.0 nm) by using a
series of complementary measurements including grazing incidence X-ray
reflectometry, atomic force microscopy, X-ray diffraction and high-resolution
transmission electron microscopy. The Al layer thickness transition exhibits
the Si doped in Al could not only disfavor the crystallization of Al, but also
influence the changing trends of surface roughness and diffraction peak
position of phase Al<111>. An interesting feature of the presence of Si in Al
layer is that Si could influence the transition process in Al(1%wtSi) layer, in
which the critical thickness (1.6 nm) of Al(Pure) layer in Al(Pure)/Zr shifts
to 1.8 nm of Al(1.0%wtSi) layer in Al(1.0%wtSi)/Zr multilayer. We also found
that the Zr-on-Al interlayer is wider than the Al-on-Zr interlayer in both
systems, and the Al layers do not have specific crystal orientation in the
directions vertical to the layer from SAED patterns below the thickness (3.0
nm) of Al layers. Above the thickness (3.0 nm) of Al layers, the Al layers are
highly oriented in Al<111>, so that the transformation from asymmetrical to
symmetrical interlayers can be observed. Based on the analysis of all
measurements, we build up a model with four steps, which could explain the Al
layer thickness transition process in terms of a critical thickness for the
nucleation of Al(Pure) and Al(1%wtSi) crystallites.
"
"Frobenius--Schur indicators of unipotent characters and the twisted
  involution module","  Let $W$ be a finite Weyl group and $\sg$ be a non-trivial graph automorphism
of $W$. We show a remarkable relation between the $\sg$-twisted involution
module for $W$ and the Frobenius--Schur indicators of the unipotent characters
of a corresponding twisted finite group of Lie type. This extends earlier
results of Lusztig-Vogan for the untwisted case and then allows us to state a
general result valid for any finite group of Lie type. Inspired by recent work
of Marberg, we also formally define Frobenius--Schur indicators for ""unipotent
characters"" of twisted dihedral groups.
"
"Neutral Higgs Boson Pair-Production and Trilinear Self-Couplings in the
  MSSM at ILC and CLIC Energies","  We study pair-production as well as the triple self-couplings of the neutral
Higgs bosons of the Minimal Supersymmetric Standard Model (MSSM) at the Future
International Linear $e^{+}e^{-}$ Collider (ILC) and Compact Linear Collider
(CLIC). The analysis is based on the reactions $e^{+}e^{-}\to b \bar b h_ih_i,
t \bar t h_ih_i$ with $h_i=h, H, A$. We evaluate the total cross-section for
both $b\bar bh_ih_i$, $t\bar th_ih_i$ and calculate the total number of events
considering the complete set of Feynman diagrams at tree-level. We vary the
triple couplings $\kappa\lambda_{hhh}$, $\kappa\lambda_{Hhh}$,
$\kappa\lambda_{hAA}$, $\kappa\lambda_{HAA}$, $\kappa\lambda_{hHH}$ and
$\kappa\lambda_{HHH}$ within the range $\kappa=-1$ and +2. The numerical
computation is done for the energies expected at the ILC with a center-of-mass
energy 500, 1000, 1600 $GeV$ and a luminosity 1000 $fb^{-1}$. The channels
$e^{+}e^{-}\to b \bar b h_ih_i$ and $e^{+}e^{-}\to t \bar t h_ih_i$ are also
discussed to a center-of-mass energy of 3 $TeV$ and luminosities of 1000
$fb^{-1}$ and 5000 $fb^{-1}$.
"
"Proposal to directly observe the Kondo effect through enhanced
  photo-induced scattering of cold fermionic and bosonic atoms","  We propose an experimental protocol to directly observe the Kondo effect by
scattering ultracold atoms with spin-dependent interactions. We propose using
an optical Feshbach resonance to engineer Kondo-type spin-dependent
interactions in a system with ultracold $^6$Li and $^{87}$Rb gases. We
calculate the momentum transferred from the $^{87}$Rb gas to the $^6$Li gas in
a scattering experiment and show that it has a logarithmically enhanced
temperature dependence, characteristic of the Kondo effect and analogous to the
resistivity of alloys with magnetic impurities. Experimentally detecting this
enhancement will give a different perspective on the Kondo effect, and allow us
to explore a rich variety of problems such as the Kondo lattice problem and
heavy-fermion systems.
"
