query,success,latency,papers_retrieved,input_tokens,output_tokens,paper_details,error
Recent advancements in computer vision and deep learning,True,6.669206857681274,3,14,553,"[{'score': 0.8402, 'title': 'The Source of Turbulence in Astrophysical Disks: An Ill-posed Problem.', 'date': '2007-05-23'}, {'score': 0.8213, 'title': 'General Relativity Today', 'date': '2015-05-13'}, {'score': 0.7982, 'title': 'Mathematics of thermoacoustic tomography', 'date': '2008-03-02'}]",
Transformer architectures for natural language processing,True,6.605552911758423,3,14,353,"[{'score': 0.8556, 'title': 'Simulation of Robustness against Lesions of Cortical Networks', 'date': '2008-08-27'}, {'score': 0.8309, 'title': 'Contrasting Two Transformation-Based Methods for Obtaining Absolute', 'date': '2008-03-30'}, {'score': 0.8156, 'title': 'Pairwise comparisons of typological profiles (of languages)', 'date': '2007-05-23'}]",
Graph neural networks applications,True,6.688770294189453,3,8,542,"[{'score': 0.8061, 'title': 'Molecular circuits based on graphene nano-ribbon junctions', 'date': '2007-06-13'}, {'score': 0.7907, 'title': 'Reactor Monitoring with Neutrinos', 'date': '2012-10-09'}, {'score': 0.7665, 'title': 'Simulation of Graphene Nanoribbon Field Effect Transistors', 'date': '2009-11-13'}]",
Reinforcement learning in robotics,True,7.730448246002197,2,8,721,"[{'score': 0.8716, 'title': 'Synergistic Effects of MoDTC and ZDTP on Frictional Behaviour of', 'date': '2007-05-23'}, {'score': 0.864, 'title': 'Renewals for exponentially increasing lifetimes, with an application to', 'date': '2016-08-14'}]",
Generative adversarial networks for image synthesis,True,7.821114778518677,3,12,641,"[{'score': 0.851, 'title': 'Long Gamma-Ray Burst Progenitors: Boundary Conditions and Binary Models', 'date': '2009-06-23'}, {'score': 0.8195, 'title': 'Evolutionary Neural Gas (ENG): A Model of Self Organizing Network from', 'date': '2010-04-26'}, {'score': 0.7942, 'title': 'Genetic Optimization of Photonic Bandgap Structures', 'date': '2009-11-13'}]",
Attention mechanisms in deep learning models,True,7.132639169692993,3,11,496,"[{'score': 0.8645, 'title': 'Towards understanding of birds magnetoreceptor mechanism', 'date': '2007-05-23'}, {'score': 0.864, 'title': 'Moment switching in nanotube magnetic force probes', 'date': '2009-11-13'}, {'score': 0.8603, 'title': 'Behavioral response to strong aversive stimuli: A neurodynamical model', 'date': '2007-05-23'}]",
Transfer learning techniques for computer vision,True,6.0275490283966064,3,12,538,"[{'score': 0.8545, 'title': 'Modeling the field of laser welding melt pool by RBFNN', 'date': '2007-05-23'}, {'score': 0.8541, 'title': 'Learning from compressed observations', 'date': '2016-11-15'}, {'score': 0.6421, 'title': 'Teaching for transfer', 'date': '2007-05-23'}]",
Neural architecture search and AutoML,True,7.321360111236572,3,9,662,"[{'score': 0.8206, 'title': 'Radio Astrometric Detection and Characterization of Extra-Solar Planets:', 'date': '2007-05-23'}, {'score': 0.7861, 'title': 'Intelligent location of simultaneously active acoustic emission sources:', 'date': '2009-09-29'}, {'score': 0.7643, 'title': 'An architecture-based dependability modeling framework using AADL', 'date': '2007-05-23'}]",
Few-shot learning and meta-learning approaches,True,6.633647918701172,3,11,254,"[{'score': 0.8253, 'title': 'Empirical analysis and statistical modeling of attack processes based on', 'date': '2007-05-23'}, {'score': 0.8096, 'title': 'Improving immunization strategies', 'date': '2009-11-13'}, {'score': 0.7698, 'title': 'Learning from compressed observations', 'date': '2016-11-15'}]",
Explainable AI and interpretability in neural networks,True,7.601187229156494,3,13,404,"[{'score': 0.8226, 'title': 'Quantitative Resolution to some ""Absolute Discrepancies"" in Cancer', 'date': '2008-11-26'}, {'score': 0.8009, 'title': 'Behavioral response to strong aversive stimuli: A neurodynamical model', 'date': '2007-05-23'}, {'score': 0.7949, 'title': 'Evolutionary Neural Gas (ENG): A Model of Self Organizing Network from', 'date': '2010-04-26'}]",
Convolutional neural networks for medical image analysis,True,7.713787317276001,3,14,728,"[{'score': 0.8835, 'title': 'Chemical Evolution', 'date': '2007-05-23'}, {'score': 0.8829, 'title': 'Mathematics of thermoacoustic tomography', 'date': '2008-03-02'}, {'score': 0.8825, 'title': 'Simulation of Robustness against Lesions of Cortical Networks', 'date': '2008-08-27'}]",
Recurrent neural networks for time series prediction,True,7.403210878372192,3,13,539,"[{'score': 0.8089, 'title': 'Learning from compressed observations', 'date': '2016-11-15'}, {'score': 0.8062, 'title': 'Modeling the field of laser welding melt pool by RBFNN', 'date': '2007-05-23'}, {'score': 0.7767, 'title': 'Financial time-series analysis: A brief overview', 'date': '2015-05-13'}]",
Self-supervised learning methods,True,6.487273693084717,3,8,598,"[{'score': 0.8388, 'title': 'Scalar self-force on eccentric geodesics in Schwarzschild spacetime: a', 'date': '2008-11-26'}, {'score': 0.8273, 'title': 'Learning from compressed observations', 'date': '2016-11-15'}, {'score': 0.8234, 'title': 'Evidence for a planetary companion around a nearby young star', 'date': '2015-05-13'}]",
